time,real-power
2021-07-29 14:33:05,0
2021-07-29 14:38:06,0
2021-07-29 14:43:04,0
2021-07-29 14:48:05,0
2021-07-29 14:53:06,0
2021-07-29 14:58:04,0
2021-07-29 15:03:05,0
2021-07-29 15:08:07,0
2021-07-29 15:13:04,0
2021-07-29 15:18:05,0
2021-07-29 15:23:07,0
2021-07-29 15:28:04,0
2021-07-29 15:38:03,0
2021-07-29 15:43:22,2.61599E-05
2021-07-29 15:48:25,0
2021-07-29 15:53:22,0
2021-07-29 15:58:23,0
2021-07-29 16:34:17,1.03514
2021-07-29 16:39:19,0
2021-07-29 16:44:17,0
2021-07-29 16:54:20,0
2021-07-29 16:59:17,0
2021-07-29 17:04:18,0
2021-07-29 17:09:20,0
2021-07-29 17:14:17,0
2021-07-29 17:26:35,3.59566E-05
2021-07-29 17:31:37,0
2021-07-29 17:36:34,0
2021-07-29 17:41:36,0
2021-07-29 17:46:37,0
2021-07-29 17:51:34,0
2021-07-29 17:56:36,0
2021-07-29 18:01:37,0
2021-07-29 18:06:35,0
2021-07-29 18:16:38,0
2021-07-29 18:21:35,0
2021-07-29 18:26:36,0
2021-07-29 18:31:38,0.282598
2021-07-29 18:55:18,0.315009644
2021-07-29 19:00:15,0
2021-07-29 19:16:12,1.662350627
2021-07-29 19:21:14,0
2021-07-29 19:33:41,0.000782738
2021-07-29 19:38:43,0
2021-07-29 19:43:40,0
2021-07-29 19:48:41,0
2021-07-29 19:58:40,0
2021-07-29 20:03:43,5.031841
2021-07-29 20:08:40,0
2021-07-29 20:13:42,0
2021-07-29 20:23:40,0
2021-07-29 20:28:43,0
2021-07-29 20:38:41,0
2021-07-29 20:43:44,0
2021-07-29 20:48:41,0
2021-07-29 20:53:43,0
2021-07-29 20:58:41,0
2021-07-29 21:03:43,0
2021-07-29 21:08:40,0
2021-07-29 21:13:42,0
2021-07-29 21:18:44,0
2021-07-29 21:23:41,0
2021-07-29 21:28:42,0
2021-07-29 21:33:43,0
2021-07-29 21:38:41,0
2021-07-29 21:43:42,0
2021-07-29 21:48:43,0
2021-07-29 21:53:41,0
2021-07-29 21:58:42,0
2021-07-29 22:03:43,0
2021-07-29 22:08:41,0
2021-07-29 22:13:42,0
2021-07-29 22:18:44,0
2021-07-29 22:23:41,0
2021-07-29 22:28:42,0
2021-07-29 22:33:44,0
2021-07-29 22:38:41,0
2021-07-29 22:43:44,0
2021-07-29 22:48:41,0
2021-07-29 22:53:42,0
2021-07-29 22:58:44,0
2021-07-29 23:03:41,0
2021-07-29 23:08:42,0
2021-07-29 23:13:44,0
2021-07-29 23:18:41,0
2021-07-29 23:23:42,0
2021-07-29 23:28:44,0
2021-07-29 23:33:41,0
2021-07-29 23:38:42,0
2021-07-29 23:43:44,0
2021-07-29 23:48:41,0
2021-07-29 23:53:42,0
